#,Nombre,Funcionalidad,Flujo de la transacción,Tablas Involucradas,Descripción,Hecho,Falta,ADI
1,CRUD usuarios,"Inserción, Actualización y desactivación de la tabla ""usuarios""","El usuario ingresa datos desde el formulario ubicado en el front-end, incluye un trigger.",tab_usuarios,"Gestión completa de usuarios del sistema con operaciones de creación, actualización y desactivación lógica",x,,
2,CRUD productos,"Inserción, Actualización y desactivación de la tabla ""productos""","El usuario ingresa datos del producto desde el formulario ubicado en el front-end, incluye validaciones de categoría y marca.",tab_productos,"Gestión completa de productos del catálogo con operaciones de creación, actualización y desactivación lógica",x,,
3,CRUD categorías,"Inserción, Actualización y desactivación de la tabla ""categorias""","El usuario ingresa datos de categoría desde el formulario ubicado en el front-end, incluye validaciones de jerarquía.",tab_categorias,"Gestión completa de categorías de productos con operaciones de creación, actualización y desactivación lógica",x,,
4,CRUD marcas,"Inserción, Actualización y desactivación de la tabla ""marcas""","El usuario ingresa datos de marca desde el formulario ubicado en el front-end, incluye validaciones de unicidad.",tab_marcas,"Gestión completa de marcas de productos con operaciones de creación, actualización y desactivación lógica",x,,
5,CRUD líneas,"Inserción, Actualización y desactivación de la tabla ""lineas""","El usuario ingresa datos de línea desde el formulario ubicado en el front-end, incluye validaciones de categoría.",tab_lineas,"Gestión completa de líneas de productos con operaciones de creación, actualización y desactivación lógica",x,,
6,CRUD sublíneas,"Inserción, Actualización y desactivación de la tabla ""sublineas""","El usuario ingresa datos de sublínea desde el formulario ubicado en el front-end, incluye validaciones de línea padre.",tab_sublineas,"Gestión completa de sublíneas de productos con operaciones de creación, actualización y desactivación lógica",x,,
7,CRUD proveedores,"Inserción, Actualización y desactivación de la tabla ""proveedores""","El usuario ingresa datos del proveedor desde el formulario ubicado en el front-end, incluye validaciones de contacto.",tab_proveedores,"Gestión completa de proveedores con operaciones de creación, actualización y desactivación lógica",x,,
8,CRUD roles,"Inserción, Actualización y eliminación de la tabla ""roles""","El usuario ingresa datos del rol desde el formulario ubicado en el front-end, incluye validaciones de permisos.",tab_roles,"Gestión completa de roles del sistema con operaciones de creación, actualización y eliminación",x,,
9,CRUD menú,"Inserción, Actualización y eliminación de la tabla ""menu""","El usuario ingresa datos del menú desde el formulario ubicado en el front-end, incluye validaciones de jerarquía.",tab_menu,"Gestión completa de elementos del menú con operaciones de creación, actualización y eliminación",x,,
10,CRUD roles-menú,"Inserción, Actualización y eliminación de la tabla ""roles_menu""","El usuario asigna permisos de menú a roles desde el formulario ubicado en el front-end, incluye validaciones de existencia.",tab_roles_menu,"Gestión completa de permisos de menú por rol con operaciones de creación, actualización y eliminación",x,,
11,CRUD favoritos,"Inserción, Selección y eliminación de la tabla ""favoritos""","El usuario gestiona productos favoritos desde el front-end, incluye validaciones de usuario y producto.",tab_favoritos,"Gestión completa de productos favoritos por usuario con operaciones de creación, consulta y eliminación",x,,
12,CRUD descuentos,"Inserción, Actualización, Listado y Activación/Desactivación de la tabla ""descuentos""","El usuario gestiona descuentos desde el formulario ubicado en el front-end, incluye validaciones de fechas y tipos.",tab_descuentos,"Gestión completa de descuentos del sistema con operaciones CRUD completas y validaciones de aplicabilidad",x,,
13,CRUD CMS content,"Inserción, Actualización, Obtención y eliminación de la tabla ""cms_content""","El usuario gestiona contenido CMS desde el formulario ubicado en el front-end, incluye validaciones de tipo y estado.",tab_cms_content,"Gestión completa de contenido del CMS con operaciones de creación, actualización, consulta y eliminación",x,,
14,CRUD movimientos inventario,"Inserción, Actualización y eliminación de la tabla ""movimientos_inventario""","El usuario registra movimientos de inventario desde el formulario ubicado en el front-end, incluye validaciones de stock.",tab_movimientos_inventario,"Gestión completa de movimientos de inventario con operaciones de creación, actualización y eliminación",x,,
15,CRUD órdenes compra proveedor,"Inserción, Actualización y eliminación de la tabla ""ordenes_compra_proveedor""","El usuario gestiona órdenes de compra desde el formulario ubicado en el front-end, incluye validaciones de proveedor.",tab_ordenes_compra_proveedor,"Gestión completa de órdenes de compra a proveedores con operaciones de creación, actualización y eliminación",x,,
